series,date,state,sector,value
abs,1/1/2016,Selangor,Mining and quarrying,642.954
abs,1/1/2016,Selangor,Manufacturing,78710.259
abs,1/1/2016,Selangor,Construction,16242.991
abs,1/1/2016,Selangor,Services,173869.515
abs,1/1/2016,Selangor,(plus) Import dutie,8501.073
abs,1/1/2016,Terengganu,GDP at purchasers' prices,32133.081
abs,1/1/2016,Terengganu,Agriculture,2681.315
abs,1/1/2016,Terengganu,Mining and quarrying,159.386
abs,1/1/2016,Terengganu,Manufacturing,12115.969
abs,1/1/2016,Terengganu,Construction,919.66
abs,1/1/2016,Terengganu,Services,16207.034
abs,1/1/2016,Terengganu,(plus) Import dutie,49.718
abs,1/1/2016,W.P. Kuala Lumpur,GDP at purchasers' prices,191640.985
abs,1/1/2016,W.P. Kuala Lumpur,Agriculture,0
abs,1/1/2016,W.P. Kuala Lumpur,Mining and quarrying,129.065
abs,1/1/2016,W.P. Kuala Lumpur,Manufacturing,5794.6
abs,1/1/2016,W.P. Kuala Lumpur,Construction,14509.479
abs,1/1/2016,W.P. Kuala Lumpur,Services,168742.436
abs,1/1/2016,W.P. Kuala Lumpur,(plus) Import dutie,2463.885
abs,1/1/2016,W.P. Labuan,GDP at purchasers' prices,6412.031
abs,1/1/2016,W.P. Labuan,Agriculture,114.448
abs,1/1/2016,W.P. Labuan,Mining and quarrying,0
abs,1/1/2016,W.P. Labuan,Manufacturing,1255.813
abs,1/1/2016,W.P. Labuan,Construction,120.57
abs,1/1/2016,W.P. Labuan,Services,4844.388
abs,1/1/2016,W.P. Labuan,(plus) Import dutie,76.813
abs,1/1/2017,Johor,GDP at purchasers' prices,123561.327
abs,1/1/2017,Johor,Agriculture,16169.986
abs,1/1/2017,Johor,Mining and quarrying,655.514
abs,1/1/2017,Johor,Manufacturing,36465.306
abs,1/1/2017,Johor,Construction,8407.258
abs,1/1/2017,Johor,Services,59999.052
abs,1/1/2017,Johor,(plus) Import dutie,1864.21
abs,1/1/2017,Kedah,GDP at purchasers' prices,43066.583
abs,1/1/2017,Kedah,Agriculture,5465.003
abs,1/1/2017,Kedah,Mining and quarrying,109.592
abs,1/1/2017,Kedah,Manufacturing,12449.393
abs,1/1/2017,Kedah,Construction,928.052
abs,1/1/2017,Kedah,Services,23808.188
abs,1/1/2017,Kedah,(plus) Import dutie,306.354
abs,1/1/2017,Kelantan,GDP at purchasers' prices,23501.175
abs,1/1/2017,Kelantan,Agriculture,5476.893
abs,1/1/2017,Kelantan,Mining and quarrying,300.233
abs,1/1/2017,Kelantan,Manufacturing,1277.854
abs,1/1/2017,Kelantan,Construction,520.898
abs,1/1/2017,Kelantan,Services,15899.029
abs,1/1/2017,Kelantan,(plus) Import dutie,26.268
abs,1/1/2017,Melaka,GDP at purchasers' prices,40829.986
abs,1/1/2017,Melaka,Agriculture,4625.117
abs,1/1/2017,Melaka,Mining and quarrying,56.59
abs,1/1/2017,Melaka,Manufacturing,15620.547
abs,1/1/2017,Melaka,Construction,1720.331
abs,1/1/2017,Melaka,Services,18613.275
abs,1/1/2017,Melaka,(plus) Import dutie,194.127
